Makale_Basligi,Etiket
VSTO Outlook Add-in: SDK-style project fails to generate .vsto and .dll.manifest files despite successful compilation,0
Weird blurring / gradient mask effect in safe area on dotnet MAUI maccatalyst,0
WPF Modal Window renders completely white (blank) in Hybrid WinForms application under load,0
Visual Studio 17.14.13 doesn't run MAUI Android apps,0
MAUI WearOs phyiscal button pressed event not triggerd?,0
XmlSerializer error deserializing to XElement in Blazor WebAssembly,0
handling versions of Microsoft.Extensions references in .NET multi target framework packages,0
Failed to Build .NET 9 MAUI Blazor Hybrid APK (Worked in .NET 8),0
Is using #region acceptable to organize 30+ endpoints in a .NET Core Minimal API?,0
New NET9 MAUI project raises an error for iOS,1
Blazor Server + Identity: SignInManager.SignInAsync doesn't persist login (cookie not set),0
.NET 8.0 Avalonia browser application stuck on splash screen,0
HotChocolate ISelection drops child collection JOINs in EF Core when projecting to a view model,1
"Can I ""soft reload"" a Blazor page component without a full browser reload?",0
How to unit test SQL Server User-Defined Table Types against C# classes to ensure property order and compatibility?,0
How do I create connection string with App Registration/Service Principal for a Web API using EF Core app with SQL Server using Microsoft Entra MFA,0
"Blazorize's docs says IToastService will be registered for me, but at runtime it fails because no such service is registered",0
"Is it possible to ""gracefully"" stop a unit test run in Visual Studio?",1
How to upgrade a .Net 4.8 project up to .NET 8.0?,0
ReSharper - custom pattern - add newline,1
.NET ReadFromJsonAsync<List<T>>() throws JsonException when API response contains wrapper object,0
Entity Framework Core queries in an ASP.NET Core application targeting an Azure SQL database are running with wildly different runtimes,0
Getting Azure DevOps MCP server to work with a PersistentAgent in Azure AI Foundry with Microsoft Agent Framework,1
Insert Dynamic files in sourcecode that will update before every build,1
Blazor - StateHasChanged not updating after Radzen Button OnClick,0
How can I read and parse a semicolon-separated file into objects in C# in a clean and readable way?,1
Is it possible to display the parameters from the JSON before I use JsonSerializer.Deserialize?,0
Granular .NET process security control without AppDomain,0
.Net 8 dependency injection using reflection: service with generic method returning Task<>,0
BenchmarkDotNet: OutOfMemoryException when benchmarking parsing a JSON file,0
ASP.NET Core Web API ApiController request is null for POST but files parameter is available,0
Getting CSharpCompilation error diagnostics despite seemingly having all the right settings,0
Prevent filtering out certain rows in Blazor Syncfusion DataGrid,0
"method to show notification in WPF project causes an ""unexpected token error""",0
How to remove .NET framework version from any .config file?,0
Error about a file not being there even when its there under the bin folder,0
An exception was thrown while attempting to evaluate the LINQ query parameter expression,0
WPF XAML Change Default Combobox Color,0
When to stop using await,1
Using Nuget SDK inside IIS Project - Access Denied Error,0
How to handle generic type changing as you move up the call stack when using the result pattern,1
SQL Server connection authentication in Azure DevOps pipeline for .NET seeding data .sln,0
How do I correctly nest multiple partial class files under a Blazor component?,0
Signalr sending requests from hub in .net but response never fires client side,0
"ServicePointManager is obsolete in .NET 9 — how to configure SecurityProtocol (e.g., TLS 1.2/1.3) with HttpClient?",0
How to get rid of the box from the first item of GridView In WinUI3?,1
".NET MAUI: ""Missing default constructor"" error for Page with DI despite DataTemplate and Registrations",0
"Why the project for server side presents in solutions of "".NET MAUI Blazor Hybrid and Web App"" type even in WebAssembly render mode case?",0
invalid username/password logon denied using Oracle.ManagedDataAccess in Blazor Server App,0
"Error with onblur, There is no argument given that corresponds to the required parameter 'e'",0
Exception in C# code when trying to call a stored procedure with encrypted param,0
c# - How to download large files in .NET application?,0
.NET MAUI - Dependency Injection - Constructor is never called,0
WPF Popup using Touch Input,0
"Sending mail using smtp-mail.outlook.com error ""Authentication unsuccessful, basic authentication is disabled""",0
"In app update throwing error ""user cancelled"" when i click on update button in update prompt",0
My WPF app suddenly crashes: Exception Info: System.NotImplementedException,0
My maui android app doesn't upscale properly on different devices,0
How to stop Directory.EnumerateFiles() from silently adding U+FFFD for non-utf8 filenames?,1
.NET Framework 4.7 app fails to load dependency from .NET Standard library due to NuGet selecting different assemblies,0
MAUI C# Listview blank cells,0
Upgrading from .NET framework 4.8 VB.NET project to .NET 10,0
How to refresh a Zoho access token only when expired in a .NET Azure Timer Trigger (Isolated Process)?,0
OIDC Authentication Fails on Public URL Behind Reverse Proxy IIS,0
Deep linking in NET9 MAUI,0
Deploy MAUI app for Android on physical device but not on a emulator,0
"SqlBulkCopy is failing to save records with an error ""The given ColumnMapping does not match up with any column in the source or destination.""",0
How to Inject a .NET managed DLL from a web url into a Unity game,0
How to fix mutable objects inside a copy of IReadOnly copy of a list,0
Error in Azure Functions project in a public class. Changing to a static class is not working,0
Unable to create a 'DbContext' of type 'AppDbContext'. The exception 'Object reference not set to an instance of an object.' was thrown,0
I start integration tests with `dotnet test`. They spawn IIS Express which fails ONLY on CI pipeline if I require code coverage,0
Blazor web app vs Blazor web assembly standalone App,0
How to assert the number of SQL queries EF Core executes in integration tests?,0
Blazor EditForm: Query parameters not binding to DateTime inputs on navigation,0
E_UNEXPECTED(（8000FFFF) error while calling functions on a webview2 element,0
ASP.NET Core file-based application with default serialization causing error,0
CSOM code to connect to SharePoint Online via Azure Active Directory app throws 401 error,0
Deep link error OnCreate for Android in NET9 MAUI,0
"""`ElementReference` is not assignable to parameter type 'object?[]?"" error on `InvokeAsync` method",0
"Opening a new window for logging, and keeping it open for rest of process",1
"In "".NET MAUI Blazor Hybrid and Web App""-type project, got ""An unhandled error has occurred"" in GUI but to error output anywhere",0
How can I resolve issue about BindingExpression in WPF C#?,0
BootstrapBlazor: Validation error inside a Table always appears on the first row,1
Coding a Nested JSON object using Newtonsoft.Json,0
Which authentication approaches are suited with .NET MAUI Blazor Hybrid and Web App without SSR?,0
Why does /Account/Login briefly render then disappear in a .NET 10 Blazor Web App using InteractiveServer and ASP.NET Identity?,0
Unity 6 keeps giving me error from cs.meta file,0
"ServiceBusOutput binding not working in .NET 8 isolated Azure Function, but manual send works",0
"AI Ollama console application, pass an image to the LLM using KernelFunction",1
Unity - mesh generation bug,0
How to get a number pad dialog in a Blazor Server web app,0
How to use the [DefaultValue] attribute to ignore boolean = true properties in JSON serialization,0
Best Practice passing object to component blazor,0
.NET Maui FileSaver not reliably saving a file due to Android/iOS closing the application,0
HttpWebRequest works in WinForms but fails under IIS,0
WPF Command CanExecute is not called with the CommandParameter in DataTemplate,0
.NET Framework SDK project: Launch arguments duplicated for x64 platform,0
What does .NET DateTime Ticks represent when Kind is Unspecified?,0
How to deserialize JSON object with nesting,0
Entity Framework Core replaces 0 with Null - how can I prevent this behaviour?,0
AWSSDK .Net GetObjectAsync hung,0
Receiving FOREIGN KEY constraint error when trying to update database in the EF Core,0
How to access a JSON file in WWWROOT folder of Blazor application?,0
Closing the app and then reopening still uses the same instance of Window in MAUI,0
Is there any way to manipulate the content of the files in a deployed Blazor app (_content folder specifically),0
JsonReaderException: The maximum configured depth of 64 has been exceeded. Cannot read next JSON object. Microsoft.AspNetCore.OpenApi,0
Where does an exception with an empty call stack come from?,0
How can I get Liquid Data Mapper to target .NET 8 and not .NET Framework 4.6.2?,0
Black screen and error sound in Windows 11 Pro kiosk mode,0
Class resets to null after login in MudBlazor because page reloads – how can I persist the user until he logs out?,0
"EF Core migrations fail in .NET 10 with ""Telemetry is: Enabled"" JSON parsing error - telemetry disable not working",0
How do I prevent JSON deserializer converting a date value in a DataSet when the first row is NULL,1
"ILRepack build throws ""Type exists in both ..."" error",0
NLog.Web.AspNetCore not formatting object as JSON,0
Why does the first response in my OpenAI Realtime C# session show cached token usage (cached_input_tokens) even though no prior context exists?,1
"Minimal API: Dictionary<string, string> always null when sending data with IFormFile via multipart/form-data",0
How can I edit text inside Avalonia DataGrid cell and take the new text value of that cell to make a query?,1
Every pptx made with OpenXml prompts a repair by PowerPoint,1
Why is my WPF DataGrid RowDetail ignoring SelectedItem but accepts ItemsSource?,0
Azure Agent Retrieval (Azure AI Search) returns JSON references instead of LLM-generated answer,1
App .NET 9.0 MAUI+ Camera.MAUI.ZXing ver. 1.0.0. Barcode Reader is very slow and read a different values for the same barcode,0
IBM MQ 2059 (MQRC_Q_MGR_NOT_AVAILABLE) error in .NET using XMS with certificate-based SSL setup,0
Postgres 23505 duplicate key exception in EF Core AddOrUpdate (race condition on initial insert),0
Invalid status line exception trying to establish local gRPC connection with Grpc.Net.Client,0
How can I find what is the real error raised in macOS in a MAUI project?,0
"EF Core 9 migration fails on production database copy with ""Cannot release the application lock"" error",0
Generated Blazor components compile but render nothing when created by a Roslyn analyzer,0
.NET MAUI App - How do you play music natively?,0
Json Serialization - Work around for ExpandableObjectConverter,0
.NET Core Razor Page erroneously invoking OnGet when clicking an anchor tag in _Layout.cshtml,0
.NET 9 MAUI Popup custom return raises an error,0
Azure Blob storage failing to download in Maui app (debugging on Windows MAchine),0
.NET 10 Solution Template not applying Solution Folders on SLNX Solutions,0
Implementing plugin architecture pattern in .NET MAUI Blazor Hybrid,1
"Is there an issue with using SkiaSharp, WPF, and .NET Runtime Support (/clr:netcore) together?",0
Blazor Server client side authentication with gRPC,0
WPF InlineUIContainer displaying images incorrectly,0
Validate and decrypt a JWE id_token with JwtSecurityTokenHandler ValidateToken with .NET Framework DotnetNuke,0
"C#, .NET 8 and T4 to load assembly",0
How does TaskCompletionSource work when an exception occurs?,0
CollectionView using C# MAUI for Android Not Showing Anything,0
Send array of objects to .NET controller action,0
"EF Core CLI: ""Unable to create a 'DbContext' of type ''"" error when running migration from multi-project solution",0
await on object method call with nullable syntax throws exception,0
I got exception after adding automatic configuration generation in C# project,0
LDAP search works via ldapsearch over VPN but fails in C# (System.DirectoryServices.Protocols) — connection/auth issue?,0
RTSP stream on Wpf using Gstreamer,0
Blazor not showing spinner when page loads,0
Do collection expressions like [] always create a new object?,1
TCPListener returns error when it disconnects,0
Upgrade Azure Search to Azure AI Search .NET SDK version 11 on .NET Core 3.1,1
"yarn graphql-codegen error "" require() of ES Module Y from Y not supported""",0
"Using YARP, System Web Adapters and AddAuthenticationStateSerialization to authenticate a Blazor application",0
AzureOpenAI deployment Issue,0
Winforms panel not redrawing rectangles properly,0
.NET Avalonia image rendering pure quality,0
.NET migrations with vulnerabilities,0
MongoDB .NET - Updating embedded document in list with filters based on Parent and Child,0
Integrating native Android SDK into a MAUI application,0
"after opening RemoteApp using AxMsRdpClient7NotSafeForScripting, the Input Method Editor (IME) of the RemoteApp window fails to run in exclusive mode",0
AES GCM Encryption error - CKR_MECHANISM_PARAM_INVALID,0
How do I fix the System.AccessViolationException?,0
Minimal Version 10 QR Code Generator in C# for Legacy .NET,0
"In a Blazor project, can I download a file without js interop?",0
Can I embed a .NET console as a widget in a web page,0
Blazor virtualization for items with different sizes,0
How to structure a multi-repository .NET web application,0
WebApplicationBuilder: What triggers launchUrl to actually launch the browser?,1
Automatically tie a UnityEngine.Profiling profiler sample to every method in a class,1
Access denied while deleting in .NET,0
System.Windows.Forms's WebBrowser is garbage collected differently in .NET Framework and Core,0
.NET 9 MAUI and Android: fonts are not displayed,0
Free .NET Maui translator,0
.NET MAUI project – XAML IntelliSense and code-behind stopped working after upgrading to Visual Studio Insider,0
How do I properly implement the logout behavior from the Blazor Identity template into my existing project?,0
Errors persist when rebuilding fixed .NET 9.0 Blazor web app (but not in Incognito),0
Error when using Harmony 2 with MelonLoader: 'Harmony' is a namespace but is used like a type,0
"A valid exception to ""Never touch managed resources in the finalizer""?",0
Why does the round trip from creation of self-signed EC X509Certificate to PEM file to load fails in .NET 9?,0
Code formatting issue after every change in the Razor file,1
ASP.NET Core 8 - Configuration.GetConnectionString() returns null despite appsettings.json setup,0
WPF ComboBox not updating height when items change,0
List<IFormFile> is null for large files. Reproducible at will,0
CORS error when calling RefreshToken from frontend (No 'Access-Control-Allow-Origin' header),0
.NET 8/9 SDKs installed but WPF project shows only .NET Framework 4.8 in Visual Studio,0
"Dapper QueryAsync calling SQL Server stored procedure is 3x slower than SSMS (SP ~6s, C# ~17–19s)",0
Azure Functions SQL trigger delete operation - how to get id of deleted record?,0
.NET 8.0 always returns 403,0
Implementing voip in a MAUI application?,0
What is the Best external dll for AES-GCM encrypt/decrypt for C# .Net 4.8.1,0
Why doesn't cookie authentication work in my Blazor .NET 8 app?,0
How to share values that are split from one property across multiple controls in WPF & C#,0
How to resolve a mismatch in binding an object in a ListView in MAUI,0
How do you apply WPF Fluent theme (+ Application.ThemeMode theme-aware) to a control's Background?,0
Identify the real error in the execution of MAUI for MacCatalyst,0
C# .NET TcpClient.Connect and timeouts,0
PdfiumViewer in c# WPF application,0
Why is casting to object first needed to satisfy the compiler but the compiler also says casting to object was unnecessary,1
Adding new elements to DBSet via LINQ,1
How to return data annotations error message in one string?,0
C# Winforms treeview .NET 10 new feature CompareOptions.NumericOrdering,1
ComboBox SelectedValue cannot be changed from null,0
Azure Function: Unable to Read JSON File After Deployment While Works in Local Environment,0
BackgroundService on Clean Architecture,1
".NET / EF Core / AutoMapper causing PostgreSQL ""invalid input syntax for type json"" error when saving entity",0
.NET iOS: App sporadically crashes after NFC read when returning a large struct (Data). Changing it to a class fixes it — why?,0
Agent never move in the path of the navmesh surface when baking in script. how to make the agent move on the path and not in diagonal on the walls?,1
Why doesn’t ActionResult<T> work in .NET Azure Functions isolated worker model?,0
Get System.Timers.Timer to fire on a WPF Window's thread using the Timer's SynchronizingObject,0
WPF Slider jumps back to old position when seeking in LibVLCSharp MediaPlayer,0
Angular app on Visual Studio 2022 with new build system (ESBuild),1
Why does Apache Ignite throw an exception in .NET 9+?,0
I can't code without the feature of auto complete bt AI,1
How to catch AccessViolationException in .NET 8 and gracefully exit the application?,0
Mouse wheel scrolling on a Winforms panel stops when mouse pointer hovers over richtextbox on listview,0
How to solve Windows .NET MAUI app publish errors?,0
Blazor PDF export : recommendations for radzen dataGrids vs custom HTML/CSS?,0
"Getting ""Headers are read-only, response has already started."" when calling SignInManager.PasswordSignInAsync using the latest version of Blazor",0
"Microsoft Teams Bot (Microsoft 365 Agent SDK) SSO does not show login popup after sign-out, always re-authenticates same account",1
Godot 4.4.1 C# Error 'no suitable method found to override',0
Perform validation across multiple cells during Save in Batch Edit using Syncfusion Blazor Data Grid,0
The NET10 MAUI app crashes in Release: InvalidCastException,0
Can't get two DbContexts to work in same ASP.NET Core solution with EF Core / SQL Server,0
.NET Firebase Send Push Notification Error,0
What is an efficient way to aggregate paginated REST API responses in .NET without loading all pages sequentially?,0
ScrollView on .NET 9 iOS doesn't work (text doesn't show),0
"Not able to bind the data in a servicebus triggered function, .NET 8 isolated model",1
How do I test Blazor Server from Playwright?,0
How can I implement consistent typed error propagation in C# without scattering try/catch across layers?,0
Task.Delay versus custom DispatcherTimer-based delay in WPF,0
"C# Maui passing a reference of 'this' down a code chain in order to use a DisplayAlert, does not display the alert, but awaits a result",0
UnsafeAccessor not updating private field when targeting a struct in .NET 8,0
"How do I correct the error ""No constructor for type 'Int32' has 1 parameters."" that I received from a maui xaml file?",0
How to Force Dark Mode Maui App - Windows,0
Adding a file path to the local storage in the ViewModel MVVM NET MAUI,0
I need help fixing this crouching bug,0
Different result by cast negative double to uint with .NET Framework 4.7.2 and .NET 9.0,0
I cannot scroll vertically in a data grid in a .NET MAUI unless I resize my screen first,1
Fixing error CS0579 when creating a C# library,0
How to make C# code more readable and maintainable when using Dapper and raw SQL queries in C#?,0
OAuth 2.0 error for Google Drive 127.0.0.1 refused to connect,0
Decrypt JWE from OpenID Connect /userinfo endpoint .NET framework,0
Debug SessionState using SQL Server connection error,0
How to fix ERR_INVALID_URL_SCHEME when initializing C# in WebAssembly in node.js?,0
.NET 8 background service not running post RestAPI deployment in IIS,0
How to remedy a persistent security certificate error in an Excel Add-In project,0
.gitignore for .NET MAUI and WinForms projects,0
WinForms (.NET 8): How to open a Form or UserControl from a property in a UserControl (Designer support),0
Finding the source of: A task's exception(s) were not observed either by waiting on the task or accessing its exception property,0
UWP Page leads to Crash on Windows 10 Mobile but works fine on Desktop,0
How to securely implement JWT authentication in a .NET health monitoring app using MySQL?,0
Blazor Server LDAP Authentication Fails with “In order to perform this operation a successful bind must be completed”,0
Firebase Release Monitoring Not Updating for Android in .NET MAUI (net9.0),0
C# WinForms Panel cutting off way too much of controls inside it for no reason,0
Blazor Using Input Control for Date or DateTime,0
